timestamp,device_id,device_type,cpu_usage,memory_usage,network_in_kb,network_out_kb,packet_rate,avg_response_time_ms,service_access_count,failed_auth_attempts,is_encrypted,geo_location_variation,label
51:55.5,thermostat_38,thermostat,66.74,75.54,77,849,372,419.92,2,7,0,18.19,Normal
51:56.5,smart_light_37,smart,19.92,16.7,526,1492,635,32.69,3,3,1,2.98,Normal
51:57.5,sensor_1,sensor,10.08,48.62,577,923,220,418.91,4,10,0,9.66,Normal
51:58.5,sensor_9,sensor,68.6,22.46,400,240,769,66.81,5,6,1,15,Anomaly_DoS
51:59.5,smart_light_31,smart,50.62,48.15,104,1176,605,340.41,7,1,1,11.21,Normal
52:00.5,smart_light_46,smart,50.69,59.74,1351,961,789,250.53,6,7,1,3.6,Normal
52:01.5,smart_light_12,smart,49.08,21.17,705,106,578,157.63,8,9,1,7.53,Normal
52:02.5,camera_26,camera,83.42,45.47,1274,452,454,324.16,3,6,0,13.15,Normal
52:03.5,sensor_32,sensor,33.09,46.32,44,126,230,407.12,6,4,1,17.87,Anomaly_DoS
52:04.5,thermostat_5,thermostat,82.38,38.1,557,1255,429,431.46,5,6,1,8.49,Normal
52:05.5,sensor_10,sensor,32.33,19.49,793,494,253,101.44,4,3,1,11.12,Normal
52:06.5,thermostat_26,thermostat,76.96,71.51,1284,868,561,454.47,3,1,0,2.91,Normal
52:07.5,smart_light_25,smart,16.62,76.08,563,753,804,199.12,8,2,1,6.43,Anomaly_Injection
52:08.5,sensor_28,sensor,68.59,60.05,310,195,115,332.44,1,8,1,13.21,Normal
52:09.5,camera_23,camera,72.56,32.69,1121,256,960,131.39,5,8,0,19.61,Normal
52:10.5,sensor_37,sensor,82.57,59.46,560,1053,462,72.24,8,8,0,17.43,Normal
52:11.5,camera_32,camera,42.61,59.93,55,303,572,151.56,9,4,0,16.74,Anomaly_Injection
52:12.5,camera_36,camera,62.4,84.91,372,1379,308,306.37,4,5,0,8.86,Normal
52:13.5,smart_light_35,smart,71,36.07,766,325,764,284.93,3,8,0,5.32,Normal
52:14.5,smart_light_45,smart,33.48,62.45,896,1235,573,167.19,9,4,0,17.72,Anomaly_DoS
52:15.5,camera_29,camera,32.31,78.45,1082,627,469,234.26,8,9,1,3.51,Normal
52:16.5,smart_light_36,smart,14.69,47.38,442,850,978,342.3,9,4,0,14.64,Normal
52:17.5,thermostat_34,thermostat,16.07,76.7,306,1298,750,422.54,3,3,1,16.15,Normal
52:18.5,sensor_9,sensor,58.83,16.14,1334,1316,574,237.26,4,7,1,12.05,Normal
52:19.5,thermostat_12,thermostat,77.34,52.44,203,466,669,330.48,5,4,1,4.81,Normal
52:20.5,sensor_2,sensor,31.65,46.32,597,480,830,261.93,5,4,0,8.56,Normal
52:21.5,camera_42,camera,64.47,23.17,1415,165,711,358.07,2,1,1,19.86,Normal
52:22.5,camera_49,camera,12.75,37.35,642,1206,34,287.37,2,5,1,11.45,Normal
52:23.5,camera_26,camera,61.71,12.56,110,136,853,464.8,4,6,0,17.5,Normal
52:24.5,sensor_19,sensor,48.1,40.08,801,1187,227,164.83,8,0,0,18.32,Normal
52:25.5,camera_47,camera,19.84,62.87,24,376,73,267.39,4,5,1,2.75,Normal
